date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
2002-11-09,France,"South Africa",30,10,"2002 South Africa Tour of France, Scotland & England","Stade Velodrome",Marseille,France,False,False
2002-11-16,France,"New Zealand",20,20,"2002 New Zealand Tour of England, France & Wales","Stade de France","St Denis",France,False,False
2002-11-23,France,Canada,35,3,"2002 Canada Tour of Wales & France","Stade de France","St Denis",France,False,False
2003-02-15,England,France,57,0,,,,,False,False
2003-02-15,England,France,25,17,"2003 Six Nations",Twickenham,London,England,False,False
2003-02-22,France,Scotland,14,19,,,,,False,False
2003-02-23,France,Scotland,38,3,"2003 Six Nations","Stade de France","St Denis",France,False,False
2003-03-08,Ireland,France,15,12,"2003 Six Nations","Lansdowne Road",Dublin,Ireland,False,False
2003-03-09,Ireland,France,0,20,,,,,False,False
2003-03-22,Spain,France,7,27,,,,,False,False
2003-03-23,Italy,France,27,53,"2003 Six Nations","Stadio Flaminio",Roma,Italy,False,False
2003-03-28,France,Wales,34,7,,,,,False,False
2003-03-29,France,Wales,33,5,"2003 Six Nations","Stade de France","St Denis",France,False,False
2003-05-01,Sweden,France,0,9,,,,,False,False
2003-05-03,France,Spain,10,16,,,,,False,False
2003-06-14,Argentina,France,10,6,"2003 France Tour of Argentina & New Zealand","Velez Sarsfield Stadium","Buenos Aires",Argentina,False,False
2003-06-20,Argentina,France,33,32,"2003 France Tour of Argentina & New Zealand","Velez Sarsfield Stadium","Buenos Aires",Argentina,False,False
2003-06-28,"New Zealand",France,31,23,"2003 France Tour of Argentina & New Zealand","Jade Stadium",Christchurch,"New Zealand",False,False
2003-08-22,France,Romania,56,8,,"Stade Felix Bollaert",Lens,France,False,False
2003-08-30,France,England,17,16,,"Stade Velodrome",Marseille,France,False,False
2003-09-06,England,France,45,14,,Twickenham,London,England,False,False
2003-10-11,France,Fiji,61,18,"Rugby World Cup 2003","Suncorp Stadium",Brisbane,Australia,False,True
2003-10-18,France,Japan,51,29,"Rugby World Cup 2003","Dairy Farmers Stadium",Townsville,Australia,False,True
2003-10-25,France,Scotland,51,9,"Rugby World Cup 2003","Telstra Stadium",Sydney,Australia,False,True
2003-10-31,France,USA,41,14,"Rugby World Cup 2003","WIN Stadium",Wollongong,Australia,False,True
2003-11-09,France,Ireland,43,21,"Rugby World Cup 2003","Telstra Dome",Melbourne,Australia,False,True
2003-11-16,France,England,7,24,"Rugby World Cup 2003","Telstra Stadium",Sydney,Australia,False,True
2003-11-20,France,"New Zealand",13,40,"Rugby World Cup 2003","Telstra Stadium",Sydney,Australia,False,True
2004-02-14,France,Ireland,35,17,"2004 Six Nations","Stade de France","St Denis",France,False,False
2004-02-15,France,Ireland,22,5,,,,,False,False
2004-02-21,France,Spain,24,0,,,,,False,False
2004-02-21,France,Italy,25,0,"2004 Six Nations","Stade de France","St Denis",France,False,False
2004-03-07,Wales,France,0,22,,,,,False,False
2004-03-07,Wales,France,22,29,"2004 Six Nations","Millennium Stadium",Cardiff,Wales,False,False
2004-03-21,Scotland,France,12,16,,,,,False,False
2004-03-21,Scotland,France,0,31,"2004 Six Nations",Murrayfield,Edinburgh,Scotland,False,False
2004-03-27,France,England,13,12,,,,,False,False
2004-03-27,France,England,24,21,"2004 Six Nations","Stade de France","St Denis",France,False,False
2004-05-01,France,Spain,24,5,,,,,False,False
2004-05-05,France,Scotland,25,6,,,,,False,False
2004-05-08,France,England,8,6,,,,,False,False
2004-07-03,USA,France,31,39,"2004 France Tour of USA & Canada","Rentschler Stadium",Hartford,"United States",False,False
2004-07-10,Canada,France,13,47,"2004 France Tour of USA & Canada","York Stadium",Toronto,Canada,False,False
2004-11-13,France,Australia,27,14,"2004 Australia Tour of UK & France","Stade de France","St Denis",France,False,False
2004-11-20,France,Argentina,14,24,"2004 Argentina Tour of France & Ireland","Stade Velodrome",Marseille,France,False,False
2004-11-27,France,"New Zealand",6,45,"2004 New Zealand Tour of Italy, Wales & France","Stade de France","St Denis",France,False,False
2005-02-04,France,Scotland,22,15,,,,,False,False
2005-02-05,France,Scotland,16,9,"2005 Six Nations","Stade de France","St Denis",France,False,False
2005-02-13,England,France,10,13,,,,,False,False
2005-02-13,England,France,17,18,"2005 Six Nations",Twickenham,London,England,False,False
2005-02-25,France,Wales,48,0,,,,,False,False
2005-02-26,France,Wales,18,24,"2005 Six Nations","Stade de France","St Denis",France,False,False
2005-03-12,Ireland,France,19,26,"2005 Six Nations","Lansdowne Road",Dublin,Ireland,False,False
2005-03-13,Ireland,France,0,34,,,,,False,False
2005-03-19,Spain,France,0,39,,,,,False,False
2005-03-19,Italy,France,13,56,"2005 Six Nations","Stadio Flaminio",Roma,Italy,False,False
2005-06-18,"South Africa",France,30,30,"2005 France Tour of South Africa & Australia","King's Park",Durban,"South Africa",False,False
