date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
2017-02-25,Ireland,France,19,9,"2017 Six Nations","Aviva Stadium",Dublin,Ireland,False,False
2017-03-11,Italy,France,18,40,"2017 Six Nations","Stadio Olimpico",Roma,Italy,False,False
2017-03-18,France,Wales,20,18,"2017 Six Nations","Stade de France","St Denis",France,False,False
2017-06-10,"South Africa",France,37,14,"2017 France Tour (SA)","Loftus Versfeld",Pretoria,"South Africa",False,False
2017-06-17,"South Africa",France,37,15,"2017 France Tour (SA)","King's Park",Durban,"South Africa",False,False
2017-06-24,"South Africa",France,35,12,"2017 France Tour (SA)","Ellis Park",Johannesburg,"South Africa",False,False
2017-11-11,France,"New Zealand",18,38,"2017 New Zealand Tour (FRA/SCO/WAL)","Stade de France","St Denis",France,False,False
2017-11-18,France,"South Africa",17,18,"2017 South AfricaTour (IRE/FRA/ITA/WAL)","Stade de France","St Denis",France,False,False
2017-11-25,France,Japan,23,23,"2017 Japan Tour (FRA)","U Arena",Nanterre,France,False,False
2018-02-03,France,Ireland,13,15,"2018 Six Nations","Stade de France","St Denis",France,False,False
2018-02-11,Scotland,France,32,26,"2018 Six Nations",Murrayfield,Edinburgh,Scotland,False,False
2018-02-23,France,Italy,34,17,"2018 Six Nations","Stade Velodrome",Marseille,France,False,False
2018-03-10,France,England,22,16,"2018 Six Nations","Stade de France","St Denis",France,False,False
2018-03-17,Wales,France,14,13,"2018 Six Nations","Principality Stadium",Cardiff,Wales,False,False
2018-06-09,"New Zealand",France,52,11,"2018 France Tour (NZL)","Eden Park",Auckland,"New Zealand",False,False
2018-06-16,"New Zealand",France,26,13,"2018 France Tour (NZL)","Westpac Stadium",Wellington,"New Zealand",False,False
2018-06-23,"New Zealand",France,49,14,"2018 France Tour (NZL)","Forsyth Barr Stadium",Dunedin,"New Zealand",False,False
2018-11-10,France,"South Africa",26,29,"2018 South Africa Tour (ENG/FRA/SCO/WAL)","Stade de France","St Denis",France,False,False
2018-11-17,France,Argentina,28,13,"2018 Argentina Tour (IRE/FRA/SCO)","Stade Pierre-Mauroy",Villeneuve-d'Ascq,France,False,False
2018-11-24,France,Fiji,14,21,"2018 Fiji Tour (SCO/FRA)","Stade de France","St Denis",France,False,False
2019-02-01,France,Wales,19,24,"2019 Six Nations","Stade de France","St Denis",France,False,False
2019-02-10,England,France,44,8,"2019 Six Nations",Twickenham,London,England,False,False
2019-02-23,France,Scotland,27,10,"2019 Six Nations","Stade de France","St Denis",France,False,False
2019-03-10,Ireland,France,26,14,"2019 Six Nations","Aviva Stadium",Dublin,Ireland,False,False
2019-03-16,Italy,France,14,25,"2019 Six Nations","Stadio Olimpico",Roma,Italy,False,False
2019-08-17,France,Scotland,32,3,"2019 Men's Internationals","Allianz Riviera",Nice,France,False,False
2019-08-24,Scotland,France,17,14,"2019 Men's Internationals",Murrayfield,Edinburgh,Scotland,False,False
2019-08-30,France,Italy,47,19,"2019 Men's Internationals","Stade de France","St Denis",France,False,False
2019-09-21,France,Argentina,23,21,"Rugby World Cup 2019","Tokyo Stadium",Tokyo,Japan,False,True
2019-10-02,France,USA,33,9,"Rugby World Cup 2019","Fukuoka Hakatanomori Stadium","Fukuoka Prefecture, Fukuoka City",Japan,False,True
2019-10-06,France,Tonga,23,21,"Rugby World Cup 2019","Kumamoto Stadium","Kumamoto Prefecture, Kumamoto City",Japan,False,True
2019-10-20,Wales,France,20,19,"Rugby World Cup 2019","Oita Stadium","Oita Prefecture",Japan,False,True
2020-02-02,France,England,24,17,"2020 Six Nations","Stade de France","St Denis",France,False,False
2020-02-09,France,Italy,35,22,"2020 Six Nations","Stade de France","St Denis",France,False,False
2020-02-22,Wales,France,23,27,"2020 Six Nations","Principality Stadium",Cardiff,Wales,False,False
2020-03-08,Scotland,France,28,17,"2020 Six Nations",Murrayfield,Edinburgh,Scotland,False,False
2020-10-24,France,Wales,38,21,"2020 Men's Internationals","Stade de France","St Denis",France,False,False
2020-10-31,France,Ireland,35,27,"2020 Six Nations","Stade de France","St Denis",France,False,False
2020-11-22,Scotland,France,15,22,"2020 Autumn Nations Cup",Murrayfield,Edinburgh,Scotland,False,False
2020-11-28,France,Italy,36,5,"2020 Autumn Nations Cup","Stade de France","St Denis",France,False,False
2020-12-06,England,France,22,19,"2020 Autumn Nations Cup",Twickenham,London,England,False,False
2021-02-06,Italy,France,10,50,"2021 Six Nations","Stadio Olimpico",Roma,Italy,False,False
2021-02-14,Ireland,France,13,15,"2021 Six Nations","Aviva Stadium",Dublin,Ireland,False,False
2021-03-13,England,France,23,20,"2021 Six Nations",Twickenham,London,England,False,False
2021-03-20,France,Wales,32,30,"2021 Six Nations","Stade de France",Saint-Denis,France,False,False
2021-03-26,France,Scotland,23,27,"2021 Six Nations","Stade de France",Saint-Denis,France,False,False
2021-07-07,Australia,France,23,21,"2021 France Tour (AUS)","Suncorp Stadium",Brisbane,Australia,False,False
2021-07-13,Australia,France,26,28,"2021 France Tour (AUS)","AAMI Park",Melbourne,Australia,False,False
2021-07-17,Australia,France,33,30,"2021 France Tour (AUS)","Suncorp Stadium",Brisbane,Australia,False,False
2021-11-06,France,Argentina,29,20,"Autumn Nations Series 2021","Stade de France",Saint-Denis,France,False,False
2021-11-14,France,Georgia,41,15,"Autumn Nations Series 2021",Matmut-Atlantique,Bordeaux,France,False,False
2021-11-20,France,"New Zealand",40,25,"Autumn Nations Series 2021","Stade de France",Saint-Denis,France,False,False
2022-02-06,France,Italy,37,10,"2022 Six Nations","Stade de France",Saint-Denis,France,False,False
2022-02-12,France,Ireland,30,24,"2022 Six Nations","Stade de France",Saint-Denis,France,False,False
2022-02-26,Scotland,France,17,36,"2022 Six Nations",Murrayfield,Edinburgh,Scotland,False,False
2022-03-11,Wales,France,9,13,"2022 Six Nations","Principality Stadium",Cardiff,Wales,False,False
2022-03-19,France,England,25,13,"2022 Six Nations","Stade de France",Saint-Denis,France,False,False
2022-07-02,Japan,France,23,42,"2022 Men's International","City of Toyota Stadium","Aichi Prefecture, Toyota City",Japan,False,False
2022-07-09,Japan,France,15,20,"2022 Men's International","National Olympic Stadium",Tokyo,Japan,False,False
2022-10-08,"South Africa",France,5,40,"Rugby World Cup 2021","Eden Park",Auckland,"New Zealand",False,True
2022-10-15,France,England,7,13,"Rugby World Cup 2021","Northland Events Centre",Whangarei,"New Zealand",False,True
2022-10-22,France,Fiji,44,0,"Rugby World Cup 2021","Northland Events Centre",Whangarei,"New Zealand",False,True
2022-10-29,France,Italy,39,3,"Rugby World Cup 2021","Northland Events Centre",Whangarei,"New Zealand",False,True
2022-11-05,"New Zealand",France,25,24,"Rugby World Cup 2021","Eden Park",Auckland,"New Zealand",False,True
2022-11-05,France,Australia,30,29,"Autumn Nations Series 2022","Stade de France",Saint-Denis,France,False,False
2022-11-12,Canada,France,0,36,"Rugby World Cup 2021","Eden Park",Auckland,"New Zealand",False,True
2022-11-12,France,"South Africa",30,26,"Autumn Nations Series 2022","Stade Vélodrome",Marseille,France,False,False
2022-11-20,France,Japan,35,17,"2022 Japan Tour (ENG/FRA)","Stadium de Toulouse",Toulouse,France,False,False
2023-02-05,Italy,France,24,29,"Six Nations 2023","Stadio Olimpico",Roma,Italy,False,False
2023-02-11,Ireland,France,32,19,"Six Nations 2023","Aviva Stadium",Dublin,Ireland,False,False
2023-02-26,France,Scotland,32,21,"Six Nations 2023","Stade de France",Saint-Denis,France,False,False
2023-03-11,England,France,10,53,"Six Nations 2023",Twickenham,London,England,False,False
2023-03-18,France,Wales,41,28,"Six Nations 2023","Stade de France",Saint-Denis,France,False,False
2023-08-05,Scotland,France,25,21,"Summer Nations Series 2023",Murrayfield,Edinburgh,Scotland,False,False
2023-08-12,France,Scotland,30,27,"Summer Nations Series 2023","Stade Geoffroy-Guichard",Saint-Étienne,France,False,False
2023-08-19,France,Fiji,34,17,"Summer Nations Series 2023","Stade de la Beaujoire",Nantes,France,False,False
2023-08-27,France,Australia,41,17,"Summer Nations Series 2023","Stade de France",Saint-Denis,France,False,False
2023-09-08,France,"New Zealand",27,13,"Rugby World Cup 2023","Stade de France",Saint-Denis,France,False,True
2023-09-14,France,Uruguay,27,12,"Rugby World Cup 2023","Stade Pierre-Mauroy",Lille,France,False,True
2023-09-21,France,Namibia,96,0,"Rugby World Cup 2023","Stade de Marseille",Marseille,France,False,True
2023-10-06,France,Italy,60,7,"Rugby World Cup 2023","OL Stadium",Lyon,France,False,True
2023-10-15,France,"South Africa",28,29,"Rugby World Cup 2023","Stade de France",Saint-Denis,France,False,True
2023-10-21,"New Zealand",France,17,18,"WXV 2023","Sky Stadium",Wellington,"New Zealand",False,False
2023-10-28,France,Australia,20,29,"WXV 2023","Forsyth Barr Stadium",Dunedin,"New Zealand",False,False
2023-11-04,France,Canada,20,29,"WXV 2023","Go Media Mount Smart Stadium",Auckland,"New Zealand",False,False
2024-02-10,Scotland,France,16,20,"Six Nations 2024",Murrayfield,Edinburgh,Scotland,False,False
2024-02-25,France,Italy,13,13,"Six Nations 2024","Decathlon Arena",Lille,France,False,False
2024-03-10,Wales,France,24,45,"Six Nations 2024","Principality Stadium",Cardiff,Wales,False,False
2024-03-16,France,England,33,31,"Six Nations 2024","Groupama Stadium",Lyon,France,False,False
2024-07-06,Argentina,France,13,28,"Men's Internationals 2024","Estadio Malvinas Argentinas",Mendoza,Argentina,False,False
2024-07-10,Uruguay,France,28,43,"Men's Internationals 2024","Estadio Charrúa",Montevideo,Uruguay,False,False
2024-07-13,Argentina,France,33,25,"Men's Internationals 2024","Estadio José Amalfitani","Buenos Aires",Argentina,False,False
2024-09-29,Canada,France,46,24,"WXV 2024","BC Place",Vancouver,Canada,False,False
2024-10-05,USA,France,14,22,"WXV 2024","Langley Event Centre",Langley,Canada,False,False
2024-10-12,"New Zealand",France,39,14,"WXV 2024","BC Place",Vancouver,Canada,False,False
2024-11-09,France,Japan,52,12,"Autumn Nations Series 2024","Stade de France",Saint-Denis,France,False,False
2024-11-16,France,"New Zealand",30,29,"Autumn Nations Series 2024","Stade de France",Saint-Denis,France,False,False
2024-11-22,France,Argentina,37,23,"Autumn Nations Series 2024","Stade de France",Saint-Denis,France,False,False
2025-01-31,France,Wales,43,0,"Six Nations 2025","Stade de France",Saint-Denis,France,False,False
2025-02-08,England,France,26,25,"Six Nations 2025","Allianz Stadium",London,England,False,False
2025-02-23,Italy,France,24,73,"Six Nations 2025","Stadio Olimpico",Roma,Italy,False,False
2025-03-08,Ireland,France,27,42,"Six Nations 2025","Aviva Stadium",Dublin,Ireland,False,False
2025-03-15,France,Scotland,35,16,"Six Nations 2025","Stade de France",Saint-Denis,France,False,False
2025-07-05,"New Zealand",France,31,27,"Men's Internationals 2025","Forsyth Barr Stadium",Dunedin,"New Zealand",False,False
2025-07-12,"New Zealand",France,43,17,"Men's Internationals 2025","Sky Stadium",Wellington,"New Zealand",False,False
2025-07-19,"New Zealand",France,29,19,"Men's Internationals 2025","FMG Stadium",Hamilton,"New Zealand",False,False
2025-11-08,France,"South Africa",17,32,"Autumn Nations Series 2025","Stade de France",Saint-Denis,France,False,False
2025-11-15,France,Fiji,34,21,"Autumn Nations Series 2025","Stade de France",Saint-Denis,France,False,False
2025-11-22,France,Australia,48,33,"Autumn Nations Series 2025","Stade de France",Saint-Denis,France,False,False
